Sucursal,Equipo,Fecha,Temperatura C°,Observaciones,Responsable,email
Plaza Egaña,EGA004,13-08-2025 13:21:59,2.8,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,13-08-2025 13:21:36,9.1,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,13-08-2025 13:21:17,5.2,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,13-08-2025 13:20:36,0.2,,David,huente.plazaegana@gmail.com
Esc. Militar,EM005,13-08-2025 12:34:16,6.8,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,13-08-2025 12:32:40,6.3,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,13-08-2025 12:29:47,12.9,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,13-08-2025 12:28:58,20.6,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,13-08-2025 12:16:00,13.9,,Alejandra,huente.escuelamilitar@gmail.com
Costanera,COS004,13-08-2025 12:14:00,2.1,,Nino,huentecostanera@gmail.com
Costanera,COS003,13-08-2025 12:08:00,-22,,Nino,huentecostanera@gmail.com
Costanera,COS002,13-08-2025 12:04:00,3.1,,Nino,huentecostanera@gmail.com
Costanera,COS001,13-08-2025 12:02:00,5.7,,Nino,huentecostanera@gmail.com
MUT,MUT004,13-08-2025 11:12:07,5.6,,Paula,huente.mut@gmail.com
MUT,MUT003,13-08-2025 11:11:35,0.2,,Paula,huente.mut@gmail.com
MUT,MUT002,13-08-2025 11:11:14,0.3,,Paula,huente.mut@gmail.com
MUT,MUT001,13-08-2025 11:10:34,0.6,,Paula,huente.mut@gmail.com
Plaza Egaña,EGA004,12-08-2025 21:26:02,3.1,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,12-08-2025 21:25:45,9.3,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,12-08-2025 21:25:29,6.9,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,12-08-2025 21:25:12,1.2,,David,huente.plazaegana@gmail.com
Costanera,COS001,12-08-2025 21:10:00,7.6,,Jessica,huentecostanera@gmail.com
Costanera,COS002,12-08-2025 21:10:00,0.9,,Jessica,huentecostanera@gmail.com
Costanera,COS003,12-08-2025 21:10:00,-21.3,,Jessica,huentecostanera@gmail.com
Costanera,COS004,12-08-2025 21:10:00,4.1,,Jessica,huentecostanera@gmail.com
MUT,MUT004,12-08-2025 20:04:41,7.8,,Paula,huente.mut@gmail.com
MUT,MUT003,12-08-2025 20:04:31,0.3,,Paula,huente.mut@gmail.com
MUT,MUT002,12-08-2025 20:04:19,0.5,,Paula,huente.mut@gmail.com
MUT,MUT001,12-08-2025 20:04:09,0.9,,Paula,huente.mut@gmail.com
Esc. Militar,EM005,12-08-2025 19:15:54,1.1,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,12-08-2025 18:58:00,8.9,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,12-08-2025 18:56:21,12.1,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,12-08-2025 18:53:25,18.8,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,12-08-2025 18:52:20,15.1,,Alejandra,huente.escuelamilitar@gmail.com
Costanera,COS004,12-08-2025 18:39:34,3.1,,Nino,huentecostanera@gmail.com
Costanera,COS003,12-08-2025 18:39:19,-22,,Nino,huentecostanera@gmail.com
Costanera,COS002,12-08-2025 18:39:01,4.5,,Nino,huentecostanera@gmail.com
Costanera,COS001,12-08-2025 18:38:41,5.4,,Nino,huentecostanera@gmail.com
Plaza Egaña,EGA004,12-08-2025 18:19:18,2.8,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,12-08-2025 18:19:00,9.4,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,12-08-2025 18:18:46,5.2,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,12-08-2025 18:18:32,1,,David,huente.plazaegana@gmail.com
MUT,MUT004,12-08-2025 17:39:13,12.7,,Paula,huente.mut@gmail.com
MUT,MUT003,12-08-2025 17:39:02,0.3,,Paula,huente.mut@gmail.com
MUT,MUT002,12-08-2025 17:38:47,0.3,,Paula,huente.mut@gmail.com
MUT,MUT001,12-08-2025 17:38:32,0.6,,Paula,huente.mut@gmail.com
Esc. Militar,EM005,12-08-2025 16:31:47,7.9,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,12-08-2025 16:31:13,7,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,12-08-2025 16:30:56,13.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,12-08-2025 16:30:43,14.1,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,12-08-2025 16:30:00,10.4,,Alejandra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,12-08-2025 13:37:02,2.9,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,12-08-2025 13:36:46,10.1,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,12-08-2025 13:34:38,7,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,12-08-2025 13:34:20,0.7,,David,huente.plazaegana@gmail.com
Esc. Militar,EM005,12-08-2025 12:11:05,6.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,12-08-2025 12:08:16,6.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,12-08-2025 12:04:40,15,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,12-08-2025 12:02:53,18.2,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,12-08-2025 12:01:31,13.9,,Alejandra,huente.escuelamilitar@gmail.com
MUT,MUT004,12-08-2025 11:12:50,14.6,,Paula,huente.mut@gmail.com
MUT,MUT003,12-08-2025 11:12:39,0.4,,Paula,huente.mut@gmail.com
MUT,MUT002,12-08-2025 11:12:28,0.6,,Paula,huente.mut@gmail.com
MUT,MUT001,12-08-2025 11:12:20,0.9,,Paula,huente.mut@gmail.com
Costanera,COS004,12-08-2025 10:49:44,3.1,,Nino,huentecostanera@gmail.com
Costanera,COS003,12-08-2025 10:49:17,-21.4,,Nino,huentecostanera@gmail.com
Costanera,COS002,12-08-2025 10:48:18,4.1,,Nino,huentecostanera@gmail.com
Costanera,COS001,12-08-2025 10:47:08,5.9,,Nino,huentecostanera@gmail.com
Costanera,COS004,11-08-2025 21:32:00,3.1,,Nino,huentecostanera@gmail.com
Plaza Egaña,EGA001,11-08-2025 21:26:00,2.2,,David,huente.plazaegana@gmail.com
Costanera,COS003,11-08-2025 21:25:00,-21.6,,Nino,huentecostanera@gmail.com
Plaza Egaña,EGA002,11-08-2025 21:24:00,5.7,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,11-08-2025 21:21:00,9.9,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA004,11-08-2025 21:21:00,2.9,,David,huente.plazaegana@gmail.com
Costanera,COS002,11-08-2025 21:12:00,4.2,,Nino,huentecostanera@gmail.com
Costanera,COS001,11-08-2025 21:10:00,6.5,,Nino,huentecostanera@gmail.com
MUT,MUT002,11-08-2025 20:12:26,0.6,,Paula,huente.mut@gmail.com
MUT,MUT004,11-08-2025 20:12:15,13.6,,Paula,huente.mut@gmail.com
MUT,MUT003,11-08-2025 20:11:33,0.2,,Paula,huente.mut@gmail.com
MUT,MUT001,11-08-2025 20:11:23,0.9,,Paula,huente.mut@gmail.com
Esc. Militar,EM005,11-08-2025 19:17:00,4.1,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,11-08-2025 19:11:00,8.2,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,11-08-2025 19:06:00,19.2,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,11-08-2025 19:00:00,14.8,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,11-08-2025 18:33:24,5.3,,Alejandra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,11-08-2025 18:31:39,1.9,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,11-08-2025 18:29:29,6.5,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,11-08-2025 18:28:08,7,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,11-08-2025 18:26:59,6.1,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,11-08-2025 18:26:46,0.1,,David,huente.plazaegana@gmail.com
Costanera,COS001,11-08-2025 17:09:00,7,,Nino,huentecostanera@gmail.com
Costanera,COS002,11-08-2025 17:09:00,1.1,,Nino,huentecostanera@gmail.com
Costanera,COS003,11-08-2025 17:09:00,-20.4,,Nino,huentecostanera@gmail.com
Costanera,COS004,11-08-2025 17:09:00,4.2,,Nino,huentecostanera@gmail.com
Esc. Militar,EM005,11-08-2025 16:58:59,5.2,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,11-08-2025 16:57:41,7.3,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,11-08-2025 16:57:03,18.2,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,11-08-2025 16:56:00,13.9,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,11-08-2025 16:39:50,8.2,,Alejandra,huente.escuelamilitar@gmail.com
MUT,MUT004,11-08-2025 15:52:44,9.1,,Paula,huente.mut@gmail.com
MUT,MUT003,11-08-2025 15:52:27,0.3,,Paula,huente.mut@gmail.com
MUT,MUT002,11-08-2025 15:52:15,0.4,,Paula,huente.mut@gmail.com
MUT,MUT001,11-08-2025 15:51:56,0.9,,Paula,huente.mut@gmail.com
Esc. Militar,EM005,11-08-2025 13:58:15,4.5,,Alejandra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA001,11-08-2025 12:57:00,0.2,,Luis,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,11-08-2025 12:57:00,5.6,,Luis,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,11-08-2025 12:57:00,6.7,,Luis,huente.plazaegana@gmail.com
Plaza Egaña,EGA004,11-08-2025 12:57:00,1.2,,Luis,huente.plazaegana@gmail.com
Esc. Militar,EM004,11-08-2025 12:56:00,7.4,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,11-08-2025 12:53:00,3.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,11-08-2025 12:52:00,18.4,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,11-08-2025 12:47:00,13.6,,Alejandra,huente.escuelamilitar@gmail.com
Costanera,COS001,11-08-2025 12:05:00,7.2,,Nino,huentecostanera@gmail.com
Costanera,COS002,11-08-2025 12:05:00,0.9,,Nino,huentecostanera@gmail.com
Costanera,COS003,11-08-2025 12:05:00,-21.3,,Nino,huentecostanera@gmail.com
Costanera,COS004,11-08-2025 12:05:00,4.3,,Nino,huentecostanera@gmail.com
MUT,MUT004,11-08-2025 11:12:06,10.6,,Paula,huente.mut@gmail.com
MUT,MUT003,11-08-2025 11:11:55,0.2,,Paula,huente.mut@gmail.com
MUT,MUT002,11-08-2025 11:11:45,0.6,,Paula,huente.mut@gmail.com
MUT,MUT001,11-08-2025 11:11:12,1,,Paula,huente.mut@gmail.com
Costanera,COS002,10-08-2025 21:34:48,-1.5,,Dayana C.,huentecostanera@gmail.com
Costanera,COS003,10-08-2025 21:30:56,22,,Dayana C.,huentecostanera@gmail.com
Costanera,COS004,10-08-2025 21:30:37,5,,Dayana C.,huentecostanera@gmail.com
Costanera,COS001,10-08-2025 21:30:05,9.3,,Dayana C.,huentecostanera@gmail.com
MUT,MUT003,10-08-2025 20:17:12,0.05,,Nicole,huente.mut@gmail.com
MUT,MUT004,10-08-2025 20:16:39,11.08,,Nicole,huente.mut@gmail.com
MUT,MUT002,10-08-2025 20:16:23,0.05,,Nicole,huente.mut@gmail.com
MUT,MUT001,10-08-2025 20:16:11,0.08,,Nicole,huente.mut@gmail.com
Esc. Militar,EM001,10-08-2025 19:39:08,10.4,,Almendfa,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,10-08-2025 19:22:48,1.3,,Almendra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,10-08-2025 18:54:22,2.5,,Patricio,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,10-08-2025 18:54:07,8.9,,Patricio,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,10-08-2025 18:52:30,5.5,,Patricio,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,10-08-2025 18:52:01,-0.3,,Patricio,huente.plazaegana@gmail.com
MUT,MUT004,10-08-2025 18:31:12,5.07,,Nicokr,huente.mut@gmail.com
MUT,MUT002,10-08-2025 18:31:01,0.04,,Nicole,huente.mut@gmail.com
MUT,MUT001,10-08-2025 18:30:47,10,,Nicole,huente.mut@gmail.com
MUT,MUT003,10-08-2025 18:29:13,0.02,,Nicole,huente.mut@gmail.com
Costanera,COS002,10-08-2025 17:12:09,0.4,,Dayana C.,huentecostanera@gmail.com
Costanera,COS003,10-08-2025 17:09:20,21.9,,Dayana C.,huentecostanera@gmail.com
Costanera,COS004,10-08-2025 17:09:05,5.4,,Dayana C.,huentecostanera@gmail.com
Costanera,COS001,10-08-2025 17:08:46,7.9,,Dayana C.,huentecostanera@gmail.com
Esc. Militar,EM005,10-08-2025 17:00:45,2.6,,Amendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,10-08-2025 16:47:08,6.6,,Alnendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,10-08-2025 16:41:19,18,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,10-08-2025 16:33:25,5.9,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,10-08-2025 16:21:09,9.9,,Almendra,huente.escuelamilitar@gmail.com
Costanera,COS002,10-08-2025 12:32:35,-4.3,,Dayana C.,huentecostanera@gmail.com
Esc. Militar,EM002,10-08-2025 12:30:52,15.02,,Almendra,huente.escuelamilitar@gmail.com
Costanera,COS003,10-08-2025 12:27:16,22.2,,Dayana C.,huentecostanera@gmail.com
Costanera,COS004,10-08-2025 12:26:50,5.8,,Dayana C.,huentecostanera@gmail.com
Costanera,COS001,10-08-2025 12:25:57,8.6,,Dayana C.,huentecostanera@gmail.com
Esc. Militar,EM003,10-08-2025 12:06:17,13.3,Vitrina,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM005,10-08-2025 12:02:35,2.2,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,10-08-2025 11:58:03,8.1,,Almendra,huente.escuelamilitar@gmail.com
MUT,MUT004,10-08-2025 11:57:41,10.05,,Nicolr,huente.mut@gmail.com
MUT,MUT002,10-08-2025 11:57:27,0.09,,Nixole,huente.mut@gmail.com
MUT,MUT001,10-08-2025 11:57:08,0.06,,Nicole,huente.mut@gmail.com
MUT,MUT003,10-08-2025 11:56:51,0.02,,Nicole,huente.mut@gmail.com
Esc. Militar,EM001,10-08-2025 11:52:39,9,,Almwndra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,10-08-2025 10:22:54,1.7,,Patricio,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,10-08-2025 10:22:23,10.7,,Patricio,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,10-08-2025 10:21:59,5,,Patricio,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,10-08-2025 10:21:42,0.4,,Patricio,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,09-08-2025 21:46:54,5.6,,Patricio,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,09-08-2025 21:45:49,-1.5,,Patricio,huente.plazaegana@gmail.com
MUT,MUT004,09-08-2025 20:23:01,14.06,,Nicole,huente.mut@gmail.com
MUT,MUT002,09-08-2025 20:22:45,0.06,,Nicole,huente.mut@gmail.com
MUT,MUT001,09-08-2025 20:22:33,10,,Nicole,huente.mut@gmail.com
MUT,MUT003,09-08-2025 20:22:20,0.06,,Nicole,huente.mut@gmail.com
Esc. Militar,EM005,09-08-2025 19:33:52,0.8,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,09-08-2025 19:26:31,8.6,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,09-08-2025 19:24:20,13,Vitrina,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,09-08-2025 19:11:45,7.8,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,09-08-2025 19:11:17,13,,Almendra,huente.escuelamilitar@gmail.com
MUT,MUT004,09-08-2025 18:12:20,13.09,,Nicole,huente.mut@gmail.com
MUT,MUT002,09-08-2025 18:12:01,0.03,,Nicole,huente.mut@gmail.com
MUT,MUT001,09-08-2025 18:11:40,10,,Nicole,huente.mut@gmail.com
MUT,MUT003,09-08-2025 18:11:24,0.07,,Nicole,huente.mut@gmail.com
Plaza Egaña,EGA004,09-08-2025 17:33:36,0.2,,Patricio,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,09-08-2025 17:31:57,9.6,,Patricio,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,09-08-2025 17:31:31,5.3,,Patricio,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,09-08-2025 17:31:09,-1.8,,Patricio,huente.plazaegana@gmail.com
Costanera,COS002,09-08-2025 17:14:03,-5.6,,Dayana C.,huentecostanera@gmail.com
Esc. Militar,EM002,09-08-2025 17:13:28,12.7,,Almendra,huente.escuelamilitar@gmail.com
Costanera,COS004,09-08-2025 17:08:56,5.9,,Dayana C.,huentecostanera@gmail.com
Costanera,COS003,09-08-2025 17:08:25,22,,Dayana C.,huentecostanera@gmail.com
Costanera,COS001,09-08-2025 17:07:56,9.1,,Dayana C.,huentecostanera@gmail.com
Esc. Militar,EM001,09-08-2025 17:02:03,9.7,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,09-08-2025 16:55:02,13.8,Vitrina,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,09-08-2025 16:52:26,5.4,,Almebdra,huente.escuelamilitar@gmail.com
Esc. Militar,EM005,09-08-2025 16:43:40,2.5,,Almendra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,09-08-2025 12:47:43,2.8,,Patricio,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,09-08-2025 12:46:40,10.6,,Patricio,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,09-08-2025 12:46:22,5.6,,Patricio,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,09-08-2025 12:45:58,0.1,,Patricio,huente.plazaegana@gmail.com
Costanera,COS002,09-08-2025 12:06:10,0.1,,Dayana C.,huentecostanera@gmail.com
Costanera,COS003,09-08-2025 12:05:52,21.6,,Dayana C.,huentecostanera@gmail.com
Costanera,COS004,09-08-2025 12:04:42,5.8,,Dayana C.,huentecostanera@gmail.com
Costanera,COS001,09-08-2025 12:04:04,7,,Dayana C.,huentecostanera@gmail.com
MUT,MUT004,09-08-2025 11:28:07,10.07,,Nicole,huente.mut@gmail.com
MUT,MUT002,09-08-2025 11:27:56,0.03,,Nicole,huente.mut@gmail.com
MUT,MUT001,09-08-2025 11:27:42,0.08,,Nicole,huente.mut@gmail.com
MUT,MUT003,09-08-2025 11:27:30,0.02,,Nicole,huente.mut@gmail.com
Esc. Militar,EM002,09-08-2025 11:15:46,12.4,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM005,09-08-2025 11:03:29,1.7,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,09-08-2025 11:01:26,7.2,,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,09-08-2025 10:58:51,13.8,Vitrina,Almendra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,09-08-2025 10:54:17,8.2,,Almendra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,08-08-2025 22:40:33,1.9,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,08-08-2025 22:40:17,6.9,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,08-08-2025 22:39:55,6.8,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,08-08-2025 22:39:34,1.9,,David,huente.plazaegana@gmail.com
Costanera,COS004,08-08-2025 21:20:00,3.6,,Nino,huentecostanera@gmail.com
Costanera,COS003,08-08-2025 21:14:00,-21.8,,Nino,huentecostanera@gmail.com
Costanera,COS002,08-08-2025 21:12:00,3.2,,Nino,huentecostanera@gmail.com
Costanera,COS001,08-08-2025 21:11:00,6.2,,Nino,huentecostanera@gmail.com
MUT,MUT004,08-08-2025 20:25:17,14.9,,Paula,huente.mut@gmail.com
MUT,MUT003,08-08-2025 20:25:06,0.6,,Paula,huente.mut@gmail.com
MUT,MUT002,08-08-2025 20:24:52,1.1,,Paula,huente.mut@gmail.com
MUT,MUT001,08-08-2025 20:24:39,1,,Paula,huente.mut@gmail.com
Esc. Militar,EM005,08-08-2025 19:37:02,1.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,08-08-2025 19:35:49,6.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,08-08-2025 19:26:39,12.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,08-08-2025 19:26:16,16.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,08-08-2025 19:25:59,12.7,,Alejandra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,08-08-2025 18:21:01,1.9,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,08-08-2025 18:20:37,7.4,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,08-08-2025 18:20:20,6,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,08-08-2025 18:20:07,0.2,,David,huente.plazaegana@gmail.com
Costanera,COS002,08-08-2025 17:25:00,4.2,,Nino,huentecostanera@gmail.com
Costanera,COS003,08-08-2025 17:18:00,-22.4,,Nino,huentecostanera@gmail.com
Costanera,COS001,08-08-2025 17:15:00,6.4,,Nino,huentecostanera@gmail.com
Costanera,COS004,08-08-2025 17:15:00,3.2,,Nino,huentecostanera@gmail.com
MUT,MUT003,08-08-2025 16:52:00,0.6,,Paula,huente.mut@gmail.com
MUT,MUT004,08-08-2025 16:52:00,10,,Paula,huente.mut@gmail.com
MUT,MUT001,08-08-2025 16:51:00,1,,Paula,huente.mut@gmail.com
MUT,MUT002,08-08-2025 16:51:00,0.3,,Paula,huente.mut@gmail.com
Esc. Militar,EM005,08-08-2025 16:43:59,2.7,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,08-08-2025 16:43:35,4.7,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,08-08-2025 16:43:13,7.7,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,08-08-2025 16:42:43,16.7,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,08-08-2025 16:40:26,13.4,,Alejandra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,08-08-2025 13:27:49,1.6,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,08-08-2025 13:27:30,8.8,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,08-08-2025 13:27:13,5.3,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,08-08-2025 13:26:54,0.5,,David,huente.plazaegana@gmail.com
Esc. Militar,EM005,08-08-2025 12:28:40,2.8,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,08-08-2025 12:26:33,7.8,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,08-08-2025 12:24:39,16.2,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,08-08-2025 12:22:38,9.8,,Alejandra,huente.escuelamilitar@gmail.com
Costanera,COS004,08-08-2025 12:14:00,4.2,,Nino,huentecostanera@gmail.com
Costanera,COS003,08-08-2025 12:12:00,-22,,Nino,huentecostanera@gmail.com
Costanera,COS002,08-08-2025 12:11:00,4.5,,Nino,huentecostanera@gmail.com
Costanera,COS001,08-08-2025 12:10:00,6.4,,Nino,huentecostanera@gmail.com
Esc. Militar,EM002,08-08-2025 12:03:19,5.1,,Alejandra,huente.escuelamilitar@gmail.com
